onset	duration	trial	value	instruction
5007	8	1	1	rest
12967	7	1	2	task
19823	5	1	3	interval
24929	8	2	1	rest
32938	7	2	2	task
39831	5	2	3	interval
44934	8	3	1	rest
52946	7	3	2	task
59831	5	3	3	interval
64937	8	4	1	rest
72990	7	4	2	task
80300	5	4	3	interval
84938	8	5	1	rest
92993	7	5	2	task
99836	5	5	3	interval
104944	8	6	1	rest
112920	7	6	2	task
119845	5	6	3	interval
124949	8	7	1	rest
132990	7	7	2	task
139839	5	7	3	interval
144949	8	8	1	rest
152982	7	8	2	task
159873	5	8	3	interval
164953	8	9	1	rest
172973	7	9	2	task
179852	5	9	3	interval
184947	8	10	1	rest
193018	7	10	2	task
199848	5	10	3	interval
204961	8	11	1	rest
213010	7	11	2	task
219952	5	11	3	interval
224955	8	12	1	rest
232978	7	12	2	task
239849	5	12	3	interval
244959	8	13	1	rest
252983	7	13	2	task
259873	5	13	3	interval
264965	8	14	1	rest
273018	7	14	2	task
280194	5	14	3	interval
284971	8	15	1	rest
292993	7	15	2	task
299862	5	15	3	interval
304988	8	16	1	rest
312994	7	16	2	task
319871	5	16	3	interval
324968	8	17	1	rest
333045	7	17	2	task
339869	5	17	3	interval
344976	8	18	1	rest
353019	7	18	2	task
359863	5	18	3	interval
364977	8	19	1	rest
372987	7	19	2	task
379923	5	19	3	interval
384978	8	20	1	rest
392986	7	20	2	task
399888	5	20	3	interval
404974	8	21	1	rest
413020	7	21	2	task
419875	5	21	3	interval
424977	8	22	1	rest
433007	7	22	2	task
439872	5	22	3	interval
444981	8	23	1	rest
453032	7	23	2	task
459877	5	23	3	interval
464980	8	24	1	rest
473013	7	24	2	task
479894	5	24	3	interval
484980	8	25	1	rest
492996	7	25	2	task
499873	5	25	3	interval
